,PS Code,Regional code,PS Name,ConstCode,Constituency,PriorityWithPBankRegion,PriorityWithPBankConst,District,Region,Address,Location,Latitude,Longitude
0,C010101,C,M.A JHS. NGLESHIE AMANFRO 1,C0101,BORTIANOR-NGLESHIE AMANFRO,BORTIANOR-NGLESHIE AMANFRO,BORTIANOR-NGLESHIE AMANFRO,GA SOUTH,GREATER ACCRA,M.A JHS. NGLESHIE AMANFRO 1 GA SOUTH GREATER ACCRA,SNR High School-Ngleshie Amanfro,5.54378,-0.40713
1,C010102,C,M.A JHS. NGLESHIE AMANFRO 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,M.A JHS. NGLESHIE AMANFRO 2 GA SOUTH GREATER ACCRA,SNR High School-Ngleshie Amanfro,5.54378,-0.40713
2,C010103,C,ST. PETER'S CATHOLIC SCH. NGLESHIE AMANFRO 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,ST. PETER'S CATHOLIC SCH. NGLESHIE AMANFRO 1 GA SOUTH GREATER ACCRA,St Peter's Catholic School-Ngleshie Amanfro,5.53819,-0.41018
3,C010104,C,ST. PETER'S CATHOLIC SCH. NGLESHIE AMANFRO 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,ST. PETER'S CATHOLIC SCH. NGLESHIE AMANFRO 2 GA SOUTH GREATER ACCRA,St Peter's Catholic School-Ngleshie Amanfro,5.53819,-0.41018
4,C010105,C,31ST DEC. DAY CARE CENTRE. NGLESHIE AMANFRO 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,31ST DEC. DAY CARE CENTRE. NGLESHIE AMANFRO 1 GA SOUTH GREATER ACCRA,321st Day Care Centre-Ngleshie Amanfro,5.53922,-0.41232
5,C010106,C,31ST DEC. DAY CARE CENTRE. NGLESHIE AMANFRO 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,31ST DEC. DAY CARE CENTRE. NGLESHIE AMANFRO 2 GA SOUTH GREATER ACCRA,321st Day Care Centre-Ngleshie Amanfro,5.53922,-0.41232
6,C010107,C,M.A PRIM SCH. NGLESHIE AMANFRO 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,M.A PRIM SCH. NGLESHIE AMANFRO 1 GA SOUTH GREATER ACCRA,SNR High School-Ngleshie Amanfro,5.54378,-0.40713
7,C010108,C,M.A PRIM SCH. NGLESHIE AMANFRO 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,M.A PRIM SCH. NGLESHIE AMANFRO 2 GA SOUTH GREATER ACCRA,SNR High School-Ngleshie Amanfro,5.54378,-0.40713
8,C010109,C,M.A PRIM SCH. NGLESHIE AMANFRO 3,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,M.A PRIM SCH. NGLESHIE AMANFRO 3 GA SOUTH GREATER ACCRA,SNR High School-Ngleshie Amanfro,5.54378,-0.40713
9,C010110,C,TAXI RANK. NGLESHIE AMANFRO JUNCTION 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,TAXI RANK. NGLESHIE AMANFRO JUNCTION 1 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
10,C010111,C,TAXI RANK. NGLESHIE AMANFRO JUNCTION 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,TAXI RANK. NGLESHIE AMANFRO JUNCTION 2 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
11,C010112,C,MOUNTAIN TOP CHAPEL. NGLESHIE AMANFRO 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,MOUNTAIN TOP CHAPEL. NGLESHIE AMANFRO 1 GA SOUTH GREATER ACCRA,Mountain Top Chapel-Ngleshie Amanfro,5.53088,-0.40935
